title,box_off_num
용서는 없다,3703355.4036027915
아빠가 여자를 좋아해,750694.4374595715
하모니,-2070646.7857613382
의형제,2617534.469784874
평행 이론,-390369.8713058572
회오리 바람,-127156.29157440351
경계도시 2,82157.63800437223
이웃집 남자,145664.60268293016
아마존의 눈물 극장판,220240.6481417879
반가운 살인자,1917472.2922554512
집 나온 남자들,-352156.5808467037
베스트셀러,1494519.22235593
작은 연못,2190812.1981612593
경,-104725.4900479423
대한민국 1%,270403.30007744575
포화 속으로,3942514.6562788375
나쁜 놈이 더 잘 잔다,-266815.68781798973
맨발의 꿈,2326648.2759712245
요술,-780234.7410299097
마법천자문: 대마왕의 부활을 막아라,246089.2334952937
인플루언스,-52764.81809938381
미스터 좀비,44677.100503655616
김복남 살인사건의 전말,1148709.145712894
엄지아빠,311214.60629050597
탈주,43779.34851874587
해결사,1906016.5831320721
할,443529.7416274621
된장,2693833.5638131355
조금만 더 가까이,987030.5099280917
우리 만난 적 있나요,-382261.1051742182
쩨쩨한 로맨스,2449411.3261531577
용서,-174188.13756454922
브라보! 재즈 라이프,174045.41707279117
카페 느와르,2682415.4106479893
오래된 인력거,155039.56546889924
창피해,207845.18421823924
"양 한 마리, 양 두 마리",362534.93449172156
하얀 정글,-180477.27650911268
다슬이,16094.240201397495
REC 알이씨,-110242.73207872696
량강도 아이들,-9560.01562211707
티끌모아 로맨스,-183819.9990678569
더 킥,239702.87197852635
커플즈,1601418.4129830084
오늘,1256986.3923657832
완득이,319056.01028368814
은어,326524.6745935965
고래를 찾는 자전거,733144.9379798231
도가니,570633.391075205
겨울냄새,339349.6304083516
환타스틱 모던가야그머,753369.2574330118
블라인드,1812431.6562440516
링크,860569.5208806525
퀵,1620751.1559281144
모비딕,315824.18345735176
굿바이 보이,1343233.3323665776
종로의 기적,752635.4460463428
회초리,279503.62309695606
체포왕,1964867.2257960998
세상에서 가장 아름다운 이별,5108280.094486154
나는 아빠다,1546407.0436422739
수상한 고객들,1970795.8363249765
수상한 이웃들,85210.09449315345
돌아오는 길,-123535.17870092764
우리 이웃의 범죄,-261573.15989703685
엄마는 창녀다,-123504.7593300651
위험한 상견례,515603.3725968646
간증,76671.82967647126
"사랑한다, 사랑하지 않는다",196023.62955410322
"혜화, 동",861992.380182611
글러브,4481461.289657667
가문의 귀환,107529.08176055251
잔혹한 앵글의 로망스,97569.6642678298
나의 PS 파트너,1263129.388831411
롤플레이,174833.1897922191
마티나,174064.4974196547
음치 클리닉,1185879.6086105988
남영동1985,493537.1290654295
돈 크라이 마미,436308.0933331257
반드시 크게 들을 것 2 : Wild Days,449057.2581735118
범죄소년,1056584.388991251
내가 살인범이다,3098585.827524526
터치,-223164.3012197365
늑대소년,2017058.4769414302
맥코리아,29249.932086746398
용의자X,3053927.914707792
하나안,781192.3126982879
투 올드 힙합 키드,-273958.52231056365
한경직,1965352.3633879246
미운오리새끼,-106346.5491999845
황제펭귄 펭이와 솜이,189042.6681254566
두 개의 문,-80741.26352881987
I AM,75965.65236789457
후궁 : 제왕의 첩,2968328.6525241504
"안녕, 하세요!",1860398.980999802
천국의 아이들,-103431.35934055256
할머니는 일학년,332679.12080372375
두레소리,4112.669336711606
"봄, 눈",-71237.20597747469
은교,123718.6972734162
간기남,2888618.6297677793
시체가 돌아왔다,2148014.6779827913
말하는 건축가,584654.4699249472
밀월도 가는 길,35468.18541783719
파파,178631.21098883852
점박이:한반도의 공룡3D,202411.77832787845
댄싱퀸,1581672.6031942947
누구의 딸도 아닌 해원,-177291.6766347092
신세계,3843491.824984247
굿바이 홈런,482699.79692296905
불륜의 시대,-289117.29273736867
남쪽으로 튀어,1432756.9179426094
좋은 친구들,3490010.278964033
지슬 - 끝나지 않은 세월 2,4112.669336711606
누구나 제 명에 죽고 싶다,32954.11644427757
사이코메트리,1819157.9692850069
환상속의 그대,488839.91866684
몽타주,663607.8376101541
"힘내세요, 병헌씨",60063.07168368745
꼭두각시,-412967.1024677664
홀리,295103.9553849285
마이 라띠마,539119.1893822508
더 테러 라이브,851390.6368354874
슈퍼피쉬 - 끝없는 여정,-16715.84675398114
콩가네,479824.8731924071
허풍,-211370.97503316152
젊은 엄마,35274.84520907043
노라노,69978.37122161339
노브레싱,-71900.78357624388
말하는 건축 시티:홀,408182.58297164005
댄서김의 은밀한 교수법,198927.2882128587
소원,670258.8433911917
고양이 소녀,82853.07029895672
롤플레이 2 : 동침,72121.86750490512
동창생,377939.877622081
용의자,4927733.294511485
미녀전쟁,100841.51355284547
캐치미,816815.2770640535
그 강아지 그 고양이,166897.57558175045
화려한 외출,31386.301459662023
오하이오 삿포로,-107131.99528094135
마이 리틀 히어로,5041895.620234766
박수건달,7333201.868474656
배꼽,656916.0945208273
나가요 미스콜,-70883.4149905826
우아한 거짓말,982605.2466140368
미스터 컴퍼니,177041.21770401462
우리별 일호와 얼룩소,-41949.50979687717
찌라시: 위험한 소문,358128.16202949564
조선미녀삼총사,1333344.3367544292
만찬,275049.99278169323
한 번도 안 해본 여자,-218633.03011567565
살인자,59200.91658625574
  이것이 우리의 끝이다,-133122.9139195817
그댄 나의 뱀파이어,62696.15736041962
황제를 위하여,2579050.3449010905
레디액션! 폭력영화,-128633.64257072657
스퀴시랜드,-51247.38056126173
우는 남자,2142730.2803611555
하이힐,3422658.3905829056
도희야,479522.5150881
표적,3349522.941849798
10분,160196.3065849258
메이크 유어 무브,1072258.500962937
카토 프로젝트,16053.122423470782
녀녀녀,853088.6225951175
방황하는 칼날,-249256.10019291594
바리새인,242360.61589500043
욕망의 독: 중독,-13877.200615007208
설계,-123681.47761075273
레쓰링,388851.7232824149
원 컷 - 어느 친절한 살인자의 기록,533420.9727045354
픽업 아티스트,335104.2203488608
옹녀뎐,-51747.583184608906
왓니껴,776212.7118476328
족구왕,711867.6145974727
내 연애의 기억,185836.63602736246
바세코의 아이들,-65041.86353910103
명량,10677811.70468971
군도: 민란의 시대,2765726.550761393
산타바바라,-481032.84292791056
나는 야한 여자가 좋다,23947.597635893446
숙희,31217.711576652935
더 테너 리리코 스핀토,4015801.7155281263
기술자들,2926008.9593862523
신화 라이브 3D 더 레전드 컨티뉴스,188874.32400011295
악사들,43093.03167292074
울언니,16867.266501551843
정사: 위험한 성적유희,-50127.94413709313
레디액션 청춘,11431546.525079142
"제자, 옥한흠",443419.4667716469
환상,-32135.235130216457
위층여자,322759.4019054982
가자! 장미여관으로 3 - 방황,15836.492620329855
나는 야한 여자가 좋다 3,23947.597635893446
스물,3094680.759743382
그라운드의 이방인,799775.9314872901
살인의뢰,2330153.6517733536
살인캠프,269.4510144570686
헬머니,2052742.1685423986
조류인간,-23952.025150503025
최강전사 미니특공대 : 새로운 악당의 습격,266895.4155244605
생각보다 맑은,-120448.60312905624
고양이 장례식,618105.2136729906
설해,552732.8584451746
나의 절친 악당들,-407719.01368960075
연평해전,2065079.0353090179
극비수사,93215.79690102566
성난 화가,224704.43982763687
은밀한 유혹,1867491.1645537377
혜경궁 홍씨,-135575.4300501128
무뢰한,1534842.8124010463
간신,5123023.9002551865
연애의 맛,378479.15412325796
잡식가족의 딜레마,-32628.26655165989
플랑크 상수,130173.22662229421
장수상회,-187269.0887111369
파울볼,45016.69152279028
춘희막이,-287866.6585968872
덫: 치명적인 유혹,772768.1749652101
션샤인 러브,98200.98457244471
사도,6864509.084543052
돼지 같은 여자,-821235.9697224818
사랑이 이긴다,138336.77714895384
슈퍼레이서 엔지,448545.4273978231
제 7기사단,537856.2672705393
고백,-134501.36927596547
미쓰 와이프,5343696.560947191
위로공단,-47437.54509923165
베테랑,3112996.7605496217
악인은 살아 있다,149938.0931260776
쓰리 썸머 나잇,2201482.376746468
마돈나,1727060.5087846909
"나의 아들, 나의 어머니",-67399.42756723982
슬픈남자,11868.668791174117
타이밍,-461197.3864243747
타투,702432.1712437078
어떤이의 꿈,100427.46267980215
해에게서 소년에게,230802.5759547432
울보 권투부,1335920.9566741022
어떤살인,605369.56112852
말하지 못한 비밀,142817.6119652224
조선안방 스캔들-칠거지악 2,8119.825166170634
