title,box_off_num
용서는 없다,3499523.271450027
아빠가 여자를 좋아해,932628.9741879214
하모니,952656.6342443147
의형제,1408083.871580118
평행 이론,915866.1716851678
회오리 바람,248677.14266610573
경계도시 2,209550.6612893756
이웃집 남자,276121.4603772904
아마존의 눈물 극장판,217037.44248097678
반가운 살인자,860431.7685292776
집 나온 남자들,591071.3498681037
베스트셀러,1036754.4342075747
작은 연못,747662.3211846792
경,226739.96633362398
대한민국 1%,446046.943129055
포화 속으로,2187241.5420519183
나쁜 놈이 더 잘 잔다,156831.21194675562
맨발의 꿈,1266262.9734185347
요술,337484.59340364294
마법천자문: 대마왕의 부활을 막아라,374893.59500929853
인플루언스,145420.59584804167
미스터 좀비,196469.45442077966
김복남 살인사건의 전말,754633.6272939004
엄지아빠,238822.2871159083
탈주,208924.5411710261
해결사,1186126.7850784129
할,209709.17932849572
된장,900571.3806355959
조금만 더 가까이,446622.1755891121
우리 만난 적 있나요,270771.82496075996
쩨쩨한 로맨스,1440813.6750825176
용서,316152.0486040987
브라보! 재즈 라이프,319761.7684642136
카페 느와르,1257131.6906605999
오래된 인력거,174593.75383733143
창피해,469271.5121248686
"양 한 마리, 양 두 마리",153164.87246610248
하얀 정글,183835.81315644682
다슬이,208238.10815928094
REC 알이씨,166799.56746841298
량강도 아이들,360135.644616798
티끌모아 로맨스,258801.4378106248
더 킥,208548.8741032465
커플즈,517476.6906687461
오늘,467942.2686583751
완득이,711060.9572475973
은어,228195.99458864442
고래를 찾는 자전거,291967.0423405849
도가니,839856.3995801646
겨울냄새,211577.6405988534
환타스틱 모던가야그머,252745.6983776788
블라인드,781099.5167550491
링크,351270.23103798577
퀵,745618.5829187992
모비딕,739686.6666075938
굿바이 보이,653741.2664373547
종로의 기적,479133.16342509177
회초리,699381.564714099
체포왕,1122615.7251472117
세상에서 가장 아름다운 이별,3171955.9719322585
나는 아빠다,766629.0831512057
수상한 고객들,3149939.5078970483
수상한 이웃들,402815.06501051143
돌아오는 길,188609.18295152168
우리 이웃의 범죄,279177.14233786677
엄마는 창녀다,173003.2422775291
위험한 상견례,1464403.9955978477
간증,198193.77251028718
"사랑한다, 사랑하지 않는다",460062.3018375095
"혜화, 동",307836.1968611239
글러브,3382342.135575545
가문의 귀환,684589.121257143
잔혹한 앵글의 로망스,218369.15004032274
나의 PS 파트너,913594.9557991398
롤플레이,170746.88060853502
마티나,153196.81900212256
음치 클리닉,817803.9132367586
남영동1985,263724.10197581246
돈 크라이 마미,329987.3618236204
반드시 크게 들을 것 2 : Wild Days,207237.73526520506
범죄소년,263724.10197581246
내가 살인범이다,1768376.6154022967
터치,248677.14266610573
늑대소년,2992415.0041086418
맥코리아,216973.7007277819
용의자X,1359793.1982020086
하나안,287129.3676992604
투 올드 힙합 키드,326326.17230290733
